review,rating,date,bank,source,sentiment_label,sentiment_score
So bad now and hard to use,5,2025-06-09 18:31:56,CBE,Google Play Store,NEGATIVE,0.999805748462677
"it is so amazing app. but, it is better to update it to access without any internet fees. just make it to open by free internet service when we open data connection.",5,2025-06-09 16:20:06,CBE,Google Play Store,POSITIVE,0.9496427774429321
v.good app,4,2025-06-09 11:49:09,CBE,Google Play Store,POSITIVE,0.9952701926231384
very good app,1,2025-06-09 01:24:23,CBE,Google Play Store,POSITIVE,0.9998675584793091
Very amazing app indeed. I'm enjoying it,5,2025-06-08 21:52:23,CBE,Google Play Store,POSITIVE,0.9998819828033447
Best,5,2025-06-08 18:25:37,CBE,Google Play Store,POSITIVE,0.9997941851615906
A great app. It's like carrying a bank in your pocket.,4,2025-06-07 20:21:52,CBE,Google Play Store,POSITIVE,0.9992928504943848
More than garrantty bank EBC.,4,2025-06-07 18:21:26,CBE,Google Play Store,POSITIVE,0.9971959590911865
really am happy to this app it is Siple to use everything,5,2025-06-07 11:02:38,CBE,Google Play Store,POSITIVE,0.9988697171211243
I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07 10:50:29,CBE,Google Play Store,NEGATIVE,0.9996840953826904
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06 09:54:11,CBE,Google Play Store,NEGATIVE,0.9964652061462402
what is this app problem???,1,2025-06-05 22:16:56,CBE,Google Play Store,NEGATIVE,0.9996225833892822
the app is proactive and a good connections.,5,2025-06-05 15:55:10,CBE,Google Play Store,POSITIVE,0.9998679161071777
I cannot send to cbebirr app. through this app.,3,2025-06-05 11:12:49,CBE,Google Play Store,NEGATIVE,0.9953354001045227
good,4,2025-06-05 10:21:59,CBE,Google Play Store,POSITIVE,0.9998161196708679
not functional,1,2025-06-05 07:38:12,CBE,Google Play Store,NEGATIVE,0.999778687953949
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04 21:33:36,CBE,Google Play Store,NEGATIVE,0.9905162453651428
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04 20:54:30,CBE,Google Play Store,NEGATIVE,0.9616847634315491
best,5,2025-06-04 19:59:04,CBE,Google Play Store,POSITIVE,0.9997941851615906
bezabih,5,2025-06-04 18:22:41,CBE,Google Play Store,POSITIVE,0.9654072523117065
Best Mobile Banking app ever,5,2025-06-04 16:50:52,CBE,Google Play Store,POSITIVE,0.9997294545173645
good,5,2025-06-04 16:00:15,CBE,Google Play Store,POSITIVE,0.9998161196708679
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04 15:56:02,CBE,Google Play Store,NEGATIVE,0.9981192946434021
good,5,2025-06-04 14:59:40,CBE,Google Play Store,POSITIVE,0.9998161196708679
Good,5,2025-06-04 14:52:50,CBE,Google Play Store,POSITIVE,0.9998161196708679
👌👍,5,2025-06-04 12:43:21,CBE,Google Play Store,NEGATIVE,0.6970564723014832
very niec,5,2025-06-04 11:21:53,CBE,Google Play Store,POSITIVE,0.5192604660987854
best app of finance,5,2025-06-04 07:38:54,CBE,Google Play Store,POSITIVE,0.9996503591537476
yetemeta,1,2025-06-03 21:04:44,CBE,Google Play Store,POSITIVE,0.6553673148155212
Engida Kebede Fetera,5,2025-06-03 20:20:23,CBE,Google Play Store,NEGATIVE,0.8396735787391663
good,5,2025-06-03 11:32:52,CBE,Google Play Store,POSITIVE,0.9998161196708679
it is not safety,1,2025-06-03 09:14:31,CBE,Google Play Store,NEGATIVE,0.9997867941856384
NICE bank,5,2025-06-03 08:42:36,CBE,Google Play Store,POSITIVE,0.9998055100440979
it is like a childish app make it better the worst I have ever seen,1,2025-06-02 12:23:42,CBE,Google Play Store,NEGATIVE,0.9997958540916443
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02 10:40:18,CBE,Google Play Store,POSITIVE,0.9997678399085999
It's good but try to make it facilitate for your client,4,2025-06-02 09:11:40,CBE,Google Play Store,POSITIVE,0.9491764903068542
best app,5,2025-06-01 21:16:28,CBE,Google Play Store,POSITIVE,0.999686598777771
Awesome bank,5,2025-06-01 20:31:42,CBE,Google Play Store,POSITIVE,0.9998461008071899
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31 21:21:18,CBE,Google Play Store,NEGATIVE,0.9983141422271729
Masha alla,5,2025-05-31 14:37:05,CBE,Google Play Store,NEGATIVE,0.9514626860618591
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31 11:30:33,CBE,Google Play Store,NEGATIVE,0.9991102814674377
better service,5,2025-05-31 07:28:05,CBE,Google Play Store,POSITIVE,0.9982219338417053
"it,s good app and time manager 👍",5,2025-05-30 19:13:36,CBE,Google Play Store,POSITIVE,0.9998370409011841
malkaamuu Jiidhaa Namoo,5,2025-05-30 15:08:04,CBE,Google Play Store,NEGATIVE,0.9887813329696655
lower system everything,3,2025-05-30 13:45:05,CBE,Google Play Store,NEGATIVE,0.9993475079536438
Nice!,5,2025-05-30 11:55:13,CBE,Google Play Store,POSITIVE,0.999863862991333
Keep it up My CBE,5,2025-05-29 09:38:37,CBE,Google Play Store,POSITIVE,0.9996104836463928
yes good,5,2025-05-28 15:56:18,CBE,Google Play Store,POSITIVE,0.9998410940170288
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27 23:47:06,CBE,Google Play Store,NEGATIVE,0.9996353387832642
i like everything of this app,5,2025-05-27 21:34:01,CBE,Google Play Store,POSITIVE,0.9996908903121948
good,5,2025-05-27 17:48:15,CBE,Google Play Store,POSITIVE,0.9998161196708679
🤬🤬🤬🤬 network 🛜,1,2025-05-26 17:59:50,CBE,Google Play Store,NEGATIVE,0.6856122612953186
Best,5,2025-05-26 15:22:54,CBE,Google Play Store,POSITIVE,0.9997941851615906
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26 13:43:02,CBE,Google Play Store,POSITIVE,0.9982792139053345
nice,5,2025-05-26 13:26:26,CBE,Google Play Store,POSITIVE,0.9998552799224854
good job,5,2025-05-26 12:31:42,CBE,Google Play Store,POSITIVE,0.999835729598999
Good,5,2025-05-25 19:44:05,CBE,Google Play Store,POSITIVE,0.9998161196708679
it's awesome!!,5,2025-05-25 18:13:12,CBE,Google Play Store,POSITIVE,0.999871015548706
best,5,2025-05-25 17:34:23,CBE,Google Play Store,POSITIVE,0.9997941851615906
thankyou every one,5,2025-05-25 14:10:07,CBE,Google Play Store,POSITIVE,0.9998461008071899
best app,5,2025-05-25 13:35:41,CBE,Google Play Store,POSITIVE,0.999686598777771
Ronaldo 🇵🇹 🥇,5,2025-05-25 12:56:24,CBE,Google Play Store,POSITIVE,0.9948286414146423
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25 11:51:45,CBE,Google Play Store,POSITIVE,0.9998852014541626
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25 10:54:25,CBE,Google Play Store,NEGATIVE,0.9997394680976868
mortuary app,5,2025-05-25 09:23:34,CBE,Google Play Store,NEGATIVE,0.7924917340278625
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25 07:30:44,CBE,Google Play Store,NEGATIVE,0.9961044788360596
amazing app I am used this app for one year,4,2025-05-24 23:26:43,CBE,Google Play Store,POSITIVE,0.9991408586502075
👍,5,2025-05-24 18:36:13,CBE,Google Play Store,NEGATIVE,0.6970564723014832
good app,5,2025-05-24 17:06:49,CBE,Google Play Store,POSITIVE,0.9998493194580078
i love it 😍😘,5,2025-05-24 16:05:47,CBE,Google Play Store,POSITIVE,0.9998791217803955
It makes life easy!👌,5,2025-05-24 14:47:07,CBE,Google Play Store,POSITIVE,0.9993600249290466
its not fast,1,2025-05-24 14:02:19,CBE,Google Play Store,NEGATIVE,0.9949808716773987
wow,4,2025-05-24 09:26:38,CBE,Google Play Store,POSITIVE,0.999592125415802
it is sooo good,5,2025-05-24 09:26:18,CBE,Google Play Store,POSITIVE,0.9998735189437866
excellent,5,2025-05-24 04:51:52,CBE,Google Play Store,POSITIVE,0.9998434782028198
ok,1,2025-05-24 01:33:28,CBE,Google Play Store,POSITIVE,0.9997851252555847
Fantastic,5,2025-05-23 23:51:45,CBE,Google Play Store,POSITIVE,0.9998743534088135
accessible to using,5,2025-05-23 23:26:13,CBE,Google Play Store,POSITIVE,0.999116837978363
I like it,4,2025-05-23 20:14:08,CBE,Google Play Store,POSITIVE,0.9998593330383301
good,5,2025-05-23 20:01:01,CBE,Google Play Store,POSITIVE,0.9998161196708679
why you change default network?,5,2025-05-23 18:14:51,CBE,Google Play Store,NEGATIVE,0.9962357878684998
very nice 👍,5,2025-05-23 17:27:51,CBE,Google Play Store,POSITIVE,0.9998577833175659
good,5,2025-05-23 16:15:22,CBE,Google Play Store,POSITIVE,0.9998161196708679
nice fast app,5,2025-05-23 15:27:32,CBE,Google Play Store,POSITIVE,0.999833345413208
good,5,2025-05-23 13:04:04,CBE,Google Play Store,POSITIVE,0.9998161196708679
best,5,2025-05-23 05:49:33,CBE,Google Play Store,POSITIVE,0.9997941851615906
how to I get my money,5,2025-05-23 01:43:04,CBE,Google Play Store,NEGATIVE,0.9934091567993164
"Very bad, can't even load they need to improve their services.",1,2025-05-22 22:46:06,CBE,Google Play Store,NEGATIVE,0.9998165965080261
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22 20:33:56,CBE,Google Play Store,POSITIVE,0.9649854898452759
very busy I don't know why... I prefer 889,3,2025-05-22 19:55:41,CBE,Google Play Store,NEGATIVE,0.9991938471794128
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22 19:24:00,CBE,Google Play Store,NEGATIVE,0.9966771602630615
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22 18:27:34,CBE,Google Play Store,NEGATIVE,0.9986202716827393
hojii bonsaadha,5,2025-05-22 17:52:02,CBE,Google Play Store,POSITIVE,0.9568662047386169
ok,5,2025-05-22 17:50:33,CBE,Google Play Store,POSITIVE,0.9997851252555847
ok,5,2025-05-22 17:30:13,CBE,Google Play Store,POSITIVE,0.9997851252555847
user-friendly apps.because this app is easy.,5,2025-05-22 16:46:03,CBE,Google Play Store,POSITIVE,0.9554508328437805
Awosome!!!,5,2025-05-22 16:14:31,CBE,Google Play Store,POSITIVE,0.6944918036460876
"Very good app,",5,2025-05-22 16:09:44,CBE,Google Play Store,POSITIVE,0.9998691082000732
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22 16:03:46,CBE,Google Play Store,NEGATIVE,0.992516815662384
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22 15:20:56,CBE,Google Play Store,POSITIVE,0.9997020363807678
I hate this app 😒,1,2025-05-22 12:27:49,CBE,Google Play Store,NEGATIVE,0.9996378421783447
trustful,5,2025-05-22 11:00:13,CBE,Google Play Store,POSITIVE,0.9998213648796082
I like,5,2025-05-22 02:52:56,CBE,Google Play Store,POSITIVE,0.9998149275779724
update issue,4,2025-05-22 02:25:20,CBE,Google Play Store,POSITIVE,0.5473254323005676
its not working over safari network,1,2025-05-22 02:08:26,CBE,Google Play Store,NEGATIVE,0.9991377592086792
oldie,1,2025-05-22 00:55:50,CBE,Google Play Store,NEGATIVE,0.6663156747817993
it doesn't work,1,2025-05-21 20:39:04,CBE,Google Play Store,NEGATIVE,0.9997813105583191
best,5,2025-05-21 20:18:27,CBE,Google Play Store,POSITIVE,0.9997941851615906
"This app is good, and we are using it well",1,2025-05-21 19:43:36,CBE,Google Play Store,POSITIVE,0.999855637550354
ok,5,2025-05-21 19:41:31,CBE,Google Play Store,POSITIVE,0.9997851252555847
best app,5,2025-05-21 19:19:48,CBE,Google Play Store,POSITIVE,0.999686598777771
best,5,2025-05-21 19:07:59,CBE,Google Play Store,POSITIVE,0.9997941851615906
very nice 👌 app for android phone,5,2025-05-21 17:28:54,CBE,Google Play Store,POSITIVE,0.9994401335716248
good app,5,2025-05-21 16:20:26,CBE,Google Play Store,POSITIVE,0.9998493194580078
Yes Yes,5,2025-05-21 16:01:46,CBE,Google Play Store,POSITIVE,0.9997482895851135
በጣም ከርፋፋ,1,2025-05-21 14:37:48,CBE,Google Play Store,NEGATIVE,0.7850591540336609
easy to use helpful in my life,5,2025-05-21 12:23:24,CBE,Google Play Store,POSITIVE,0.9981144666671753
good 👍,4,2025-05-21 12:07:35,CBE,Google Play Store,POSITIVE,0.9998576641082764
the best mobile banking app,5,2025-05-21 12:06:37,CBE,Google Play Store,POSITIVE,0.9998278617858887
"this app is very useful app,it saves time,and it is secure",4,2025-05-21 11:43:38,CBE,Google Play Store,POSITIVE,0.9992597699165344
ok,2,2025-05-21 11:14:52,CBE,Google Play Store,POSITIVE,0.9997851252555847
it's a good application 👍,5,2025-05-21 10:58:52,CBE,Google Play Store,POSITIVE,0.9998123049736023
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21 07:02:44,CBE,Google Play Store,NEGATIVE,0.9997513890266418
poor service,1,2025-05-21 00:22:33,CBE,Google Play Store,NEGATIVE,0.9996534585952759
amazing,5,2025-05-20 19:28:06,CBE,Google Play Store,POSITIVE,0.999875545501709
it is reliable and easy to use.,5,2025-05-20 17:50:21,CBE,Google Play Store,POSITIVE,0.9998389482498169
the most annoying mobile banking app I've ever seen,1,2025-05-20 17:21:51,CBE,Google Play Store,NEGATIVE,0.9994208812713623
Cbe mobile banking,5,2025-05-20 14:12:05,CBE,Google Play Store,POSITIVE,0.830427885055542
"i can't make Screenshout in this app, please made modification",5,2025-05-20 08:44:31,CBE,Google Play Store,NEGATIVE,0.9966920614242554
Best app I loved it,5,2025-05-19 02:30:18,CBE,Google Play Store,POSITIVE,0.999849796295166
nice app,5,2025-05-19 02:11:17,CBE,Google Play Store,POSITIVE,0.9998061060905457
wow,5,2025-05-18 16:48:55,CBE,Google Play Store,POSITIVE,0.999592125415802
Amazing applicatiom sometimes doesnt work!,5,2025-05-18 16:37:20,CBE,Google Play Store,NEGATIVE,0.6448792815208435
well satisfied with this beautiful app,5,2025-05-18 11:11:52,CBE,Google Play Store,POSITIVE,0.9998588562011719
very good,4,2025-05-17 21:10:29,CBE,Google Play Store,POSITIVE,0.9998520612716675
best app.,5,2025-05-17 16:46:51,CBE,Google Play Store,POSITIVE,0.999774158000946
good,5,2025-05-17 16:43:25,CBE,Google Play Store,POSITIVE,0.9998161196708679
"not working,why???",5,2025-05-17 16:13:06,CBE,Google Play Store,NEGATIVE,0.9995881915092468
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17 13:50:46,CBE,Google Play Store,NEGATIVE,0.9841780066490173
excellent,5,2025-05-17 07:56:52,CBE,Google Play Store,POSITIVE,0.9998434782028198
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17 05:00:16,CBE,Google Play Store,NEGATIVE,0.9996201992034912
woxe harimo ribiso,5,2025-05-17 00:36:55,CBE,Google Play Store,NEGATIVE,0.9374371767044067
good,5,2025-05-16 13:04:05,CBE,Google Play Store,POSITIVE,0.9998161196708679
"Good ,easy to use",5,2025-05-16 11:18:43,CBE,Google Play Store,POSITIVE,0.9998592138290405
Good app,5,2025-05-15 18:20:20,CBE,Google Play Store,POSITIVE,0.9998493194580078
Good job👍,5,2025-05-14 23:26:07,CBE,Google Play Store,POSITIVE,0.9998576641082764
good,5,2025-05-14 16:45:59,CBE,Google Play Store,POSITIVE,0.9998161196708679
nice,5,2025-05-14 16:20:48,CBE,Google Play Store,POSITIVE,0.9998552799224854
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14 15:14:19,CBE,Google Play Store,POSITIVE,0.9939066767692566
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13 19:10:52,CBE,Google Play Store,NEGATIVE,0.947411835193634
customer service is bad nothing is good about this bank,1,2025-05-13 14:34:12,CBE,Google Play Store,NEGATIVE,0.9996613264083862
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13 11:43:53,CBE,Google Play Store,NEGATIVE,0.992915153503418
fast and simple easy to use 👌,5,2025-05-12 15:39:56,CBE,Google Play Store,POSITIVE,0.9984942674636841
The fastest transferring app I ever had its so reliable,5,2025-05-11 14:03:25,CBE,Google Play Store,POSITIVE,0.9844427704811096
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11 11:04:05,CBE,Google Play Store,NEGATIVE,0.9986681938171387
it's easy and fast,5,2025-05-10 13:39:25,CBE,Google Play Store,POSITIVE,0.9995684027671814
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10 07:15:08,CBE,Google Play Store,NEGATIVE,0.9960438013076782
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09 20:45:30,CBE,Google Play Store,POSITIVE,0.999572217464447
wow best application ever,5,2025-05-09 13:22:12,CBE,Google Play Store,POSITIVE,0.9997984766960144
good,5,2025-05-09 09:10:20,CBE,Google Play Store,POSITIVE,0.9998161196708679
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08 19:55:11,CBE,Google Play Store,NEGATIVE,0.9997019171714783
Best,4,2025-05-08 19:35:35,CBE,Google Play Store,POSITIVE,0.9997941851615906
the pride of Ethiopian bank 🏦,5,2025-05-08 19:08:07,CBE,Google Play Store,POSITIVE,0.999118983745575
why the app telling me to turn of developer options please fix it.,1,2025-05-07 19:54:08,CBE,Google Play Store,NEGATIVE,0.9990994930267334
good,5,2025-05-07 17:11:00,CBE,Google Play Store,POSITIVE,0.9998161196708679
ok,5,2025-05-07 14:45:15,CBE,Google Play Store,POSITIVE,0.9997851252555847
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07 10:04:12,CBE,Google Play Store,POSITIVE,0.9976927042007446
